0 316 tensor(0.1780, device='cuda:0') tensor(0.0200, device='cuda:0')
0 317 tensor(0.1125, device='cuda:0') tensor(0.0400, device='cuda:0')
0 318 tensor(0.1345, device='cuda:0') tensor(0.0600, device='cuda:0')
0 319 tensor(0.1800, device='cuda:0') tensor(0.0400, device='cuda:0')
0 320 tensor(0.2682, device='cuda:0') tensor(0.0800, device='cuda:0')
0 321 tensor(0.3504, device='cuda:0') tensor(0.1200, device='cuda:0')
0 322 tensor(0.4531, device='cuda:0') tensor(0.1600, device='cuda:0')
0 323 tensor(0.1426, device='cuda:0') tensor(0.0600, device='cuda:0')
0 324 tensor(0.3528, device='cuda:0') tensor(0.1400, device='cuda:0')
0 325 tensor(0.2682, device='cuda:0') tensor(0.1000, device='cuda:0')
0 326 tensor(0.1487, device='cuda:0') tensor(0.0800, device='cuda:0')
0 327 tensor(0.2665, device='cuda:0') tensor(0.0800, device='cuda:0')
0 328 tensor(0.2468, device='cuda:0') tensor(0.0600, device='cuda:0')
0 329 tensor(0.2362, device='cuda:0') tensor(0.1000, device='cuda:0')
0 330 tensor(0.3083, device='cuda:0') tensor(0.1000, device='cuda:0')
0 331 tensor(0.0896, device='cuda:0') tensor(0.0400, device='cuda:0')
0 332 tensor(0.3214, device='cuda:0') tensor(0.0800, device='cuda:0')
0 333 tensor(0.3324, device='cuda:0') tensor(0.1000, device='cuda:0')
0 334 tensor(0.1747, device='cuda:0') tensor(0.0600, device='cuda:0')
0 335 tensor(0.1173, device='cuda:0') tensor(0.0200, device='cuda:0')
0 336 tensor(0.1924, device='cuda:0') tensor(0.1000, device='cuda:0')
0 337 tensor(0.1006, device='cuda:0') tensor(0.0400, device='cuda:0')
0 338 tensor(0.2027, device='cuda:0') tensor(0.1200, device='cuda:0')
0 339 tensor(0.1647, device='cuda:0') tensor(0.0400, device='cuda:0')
0 340 tensor(0.1425, device='cuda:0') tensor(0.0400, device='cuda:0')
0 341 tensor(0.3393, device='cuda:0') tensor(0.0800, device='cuda:0')
0 342 tensor(0.3600, device='cuda:0') tensor(0.1000, device='cuda:0')
0 343 tensor(0.1866, device='cuda:0') tensor(0.0800, device='cuda:0')
0 344 tensor(0.1851, device='cuda:0') tensor(0.0600, device='cuda:0')
0 345 tensor(0.1269, device='cuda:0') tensor(0.0400, device='cuda:0')
0 346 tensor(0.1629, device='cuda:0') tensor(0.0400, device='cuda:0')
